main_category,title,features,description,categories,details,parent_asin
All Electronics,FS-1051 FATSHARK TELEPORTER V3 HEADSET,[],"['Teleporter V3 The “Teleporter V3” kit sets a new level of value in the FPV world with Fat Shark renowned performance and quality. The fun of FPV is experienced firsthand through the large screen FPV headset with integrated NexwaveRF receiver technology while simultaneously recording onboard HD footage with the included “PilotHD” camera. The “Teleporter V3” kit comes complete with everything you need to step into the cockpit of your FPV vehicle. We’ve included our powerful 250mW 5.8Ghz transmitter, 25 degree FOV headset (largest QVGA display available), the brand new “PilotHD” camera with live AV out and all the cables, antennas and connectors needed.']","['Electronics', 'Television & Video', 'Video Glasses']","{'Date First Available': 'August 2, 2014', 'Manufacturer': 'Fatshark'}",B00MCW7G9M
All Electronics,Ce-H22B12-S1 4Kx2K Hdmi 4Port,"['UPC: 662774021904', 'Weight: 0.600 lbs']",['HDMI In - HDMI Out'],"['Electronics', 'Television & Video', 'Accessories', 'Cables', 'HDMI Cables']","{'Product Dimensions': '0.83 x 4.17 x 2.05 inches', 'Item Weight': '5.3 ounces', 'Item model number': 'CE-H22B12-S1', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'June 3, 2015', 'Manufacturer': 'SIIG'}",B00YT6XQSE
Computers,"Digi-Tatoo Decal Skin Compatible With MacBook Pro 13 inch (Model A2338/ A2289/ A2251) - Protective and Decorative Full Body Laptop Skin Decal Sticker, Anti-Scratch Vinly Skin Sticker Wrap [Fresh Marble]","['WARNING: Please IDENTIFY MODEL NUMBER on the bottom of your Macbook. Only fits for model A2338/ A2289/ A2251 (Macbook Pro 13"" w/ Touch Bar, 2022/2020 release).', 'Extra Care Yet Not Bulky. Our skin is capable of protecting the surface of your Macbook from daily scratches, dust, oil, water and fingerprint. Your Macbook remains fresh some years later.', 'Elegant Style. Our stylish design and printing tech give your Macbook a 360 degree decorative and impressive looking. Take it out and get tons of compliments.', 'Easy Apply. Easy, bubble-free installation and goo-free removal. Installation guide is well documented in paper material and video format.', '100% SATISFACTION GUARANTEED. We use best vinyl material and printing technology and offer premium service. Full refund is guaranteed if you are not satisfied with our product.']",[],"['Electronics', 'Computers & Accessories', 'Laptop Accessories', 'Skins & Decals', 'Decals']","{'Brand': 'Digi-Tatoo', 'Color': 'Fresh Marble', 'Room Type': 'Bedroom', 'Material': 'Vinyl', 'Theme': 'Marble', 'Style': 'fresh marble', 'Age Range (Description)': 'Adult', 'Reusability': 'Single Use', 'Pattern': 'Marble', 'Shape': 'Rectangular', 'Unit Count': '1.0 Count', 'Finish Type': 'Powder Coated', 'Item Weight': '3.84 ounces', 'Package Dimensions': '14.13 x 9.8 x 0.16 inches', 'Manufacturer': 'Digi-Tatoo', 'Country of Origin': 'China', 'Date First Available': 'June 3, 2019', 'Best Sellers Rank': {'Computers & Accessories': 87106, 'Laptop Decals': 16463}}",B07SM135LS
AMAZON FASHION,NotoCity Compatible with Vivoactive 4 band 22mm Quick Release Silicone Bands/Garmin Darth Vader/First Avenger/Polar Vantage Smartwatch Sport Breathable Strap Replacement for Gear S3 Classic Watchband,"['☛NotoCity 22mm band is designed for Vivoactive 4 / Samsung Gear S3 Classic / S3 Frontier / Gear Live / Samsung Galaxy Watch 46mm / Huawei Watch GT / Tickwatch Pro / S2 / E2 / Pebble Classic / Time / Time Steel / Pebble 2 (Not Pebble steel) / Other Watches with 22mm lugs.', '➹Wrist Size: Small size fits wrist: 6.49inches-8.46inches (165-215mm), Large size fits wrist: 7.28inches-9.25inches (185-235mm) ,Please measure your wrist and make sure the size before you purchase.', ""➹No Tool Needed: Quick Release Pin is easy to wear or remove. Bands made of high-quality soft Silicone material, Anti-sweat, soft and more comfortable to wear. Metal clasp locks onto your watch band interface precisely and securely, so it's not moving on the watch band."", '➹Suitable for Many Occasions: Good for perspiration which is suitable for sports of various kinds. Such as, Running, Walking, Climbing, swimming, biking and others. Simple stripe design, suitable for daily life, study and work.', ""☎Any problem with the item you receive or any opinion, please don't hesitate to contact us, we will find the best solution to solve.""]",[],"['Electronics', 'Wearable Technology', 'Clips, Arm & Wristbands']","{'Date First Available': 'May 29, 2020', 'Manufacturer': 'NotoCity'}",B089CNGZCW
Cell Phones & Accessories,Motorola Droid X Essentials Combo Pack,"['New Droid X Essentials Combo Pack', 'Exclusive Package Incredible Value Worth $145!!!', 'Includes all Genuine High Quality Motorola Made Accessories']","['all Genuine High Quality Motorola Made Accessories, including Multimedia Station with HDMI technology, HDMI Cable and AC Wall Charger, Motorola Navigation / Music Vehicle Charging Mount Car Dock and Motorola 12v Vehicle Power Adapter Charger!']","['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Memory Cards', 'Micro SD Cards']","{'Product Dimensions': '11.6 x 6.9 x 3.1 inches', 'Item Weight': '1.5 pounds', 'Other display features': 'Wireless', 'Manufacturer': 'Verizon', 'Date First Available': 'November 26, 2010'}",B004E2Z88O
Sports & Outdoors,Raymarine Wi-Fish DownVision Blackbox Sonar with Wi-Fi,"['Black box Wi-Fi CHIRP DownVision sonar module', 'Connect with the free Wi-Fish mobile app for iOS and Android devices', ""Return to the location of favorite fishing spots using the Wi-Fish augmented reality mode and your phone's GPS"", 'Pause, zoom, and rewind the sonar right on your phone; Save you favorite catch and share with friends online', 'Award winning wide-spectrum CHIRP DownVision sonar technology for photo-like images, high-speed tracking, and better deep water resolution; Includes transom mount CHIRP transducer with temperature sensor']",['Transform your smartphone into a powerful CHIRP DownVision sonar with the Wi-Fish wireless sonar. Simply download the free Wi-Fish app and connect to the Wi-Fish module using standard Wi-Fi and you will be streaming real time sonar right to your phone or tablet. The Wi-Fish app also lets you rewind and save sonar imagery for sharing with friends online instantly. iOS7 or higher or Android 4 or higher compatible.'],"['Electronics', 'Car & Vehicle Electronics', 'Marine Electronics', 'Fish Finders & Depth Finders']","{'Item Package Dimensions L x W x H': '9.3 x 8 x 4.4 inches', 'Package Weight': '2.6 Pounds', 'Item Dimensions  LxWxH': '15.75 x 15.75 x 15.75 inches', 'Item Weight': '0.1 Kilograms', 'Brand Name': 'Raymarine', 'Suggested Users': 'unisex-adult', 'Number of Items': '1', 'Manufacturer': 'Raymarine', 'Part Number': 'E70290', 'Model Year': '2016', 'Date First Available': 'February 3, 2015'}",B00TX536EK
Cell Phones & Accessories,"QGHXO Band for Garmin Vivofit 4, Soft Silicone Replacement Watch Band Strap for Garmin Vivofit 4 Activity Tracker, Small, Large, Ten Colors (5PCS Bands-Girl, Large)","['Personalized Your Garmin Vivofit 4 Activity Tracker with this refined replacement wrist band', 'Small fits wrists with a circumference of 122-188mm. Large fits wrists with a circumference of 148-215mm', 'Easy and direct installation and removal. Replacement Bands Only! Garmin device NOT included', 'Garmin Vivofit 4 Buckle Bracelet. Never lose your Garmin Vivofit 4. Fix the tracker fall off problem', 'Soft silicone with smooth finish for a sporty look, metal parts made with high quality stainless steel']","['Compatibility', 'Custom designed for your precious', 'Garmin Vivofit 4', 'Activity Tracker, this Garmin Watch Sport Band features a combination of functionality and style. Fit for', 'Garmin Vivofit 4', 'Activity Tracker ONLY. NOT for Garmin Vivofit 1/Garmin Vivofit 2/Garmin Vivofit 3.', 'Feature', 'Material: Silicone. NOTE: Replacement Bands Only! Small fits wrists with a circumference of 122-188mm.  Large fits wrists with a circumference of 148-215mm. Models for selection: For Garmin Vivofit 4 Activity Tracker Only. Contracted design style, with you life contracted and not simple.', 'Package Included', 'Soft Silicone Replacement Watch Band Strap for Garmin Vivofit 4 Activity Tracker (No Tracker)']","['Electronics', 'Wearable Technology', 'Arm & Wristband Accessories']","{'Package Dimensions': '6.85 x 4.37 x 1.1 inches', 'Item Weight': '2.64 ounces', 'Item model number': 'GM-VF4-L14GIRL', 'Best Sellers Rank': {'Electronics': 317736, 'Smart Arm & Wristband Accessories': 12926}, 'Is Discontinued By Manufacturer': 'No', 'Special features': 'activity tracker', 'Other display features': 'Sports', 'Color': '5PCS Bands-Girl', 'Manufacturer': 'QGHXO', 'Date First Available': 'March 17, 2018'}",B07BJ7ZZL7
Industrial & Scientific,Protech iPhone 4 microscope 60X Lens with illumination Led,"['iPhone 4 Microscope with White 2-LED and Detector LED', 'Magnification: 60X , Light weight and easy to carry.', 'Blue LED ( x1) and Bright LEDs for different objects.', 'LED with On/Off Switch , The LEDs are powered by 3 LR1130 Cell batteries.', 'Plug and Play, nothing to install']","['This accessory will convert your iPhone 4 into a portable microscope, yes you read it right and its not a normal microscope it can magnify images upto 60X. Now you can have your own microscope in your bag. This amazing little microscope has a built-in LED light for better image quality. The microscope should be applied through proper case on the back of the iPhone. Once installed, you can use the microscope to view objects up to 60x magnifications.']","['Electronics', 'Camera & Photo', 'Binoculars & Scopes', 'Microscopes', 'USB Microscopes']","{'Light Source Type': 'LED', 'Color': 'Blue,White', 'Magnification Maximum': '60 x', 'Brand': 'ProTech', 'Compatible Devices': 'Smartphone', 'Objective Lens Description': 'Achromatic', 'Power Source': 'Battery Powered', 'Package Dimensions': '4.8 x 2.9 x 1.2 inches; 0.8 Ounces', 'Date First Available': 'August 7, 2011', 'Manufacturer': 'ProTech'}",B005G99O2U
Computers,"MOSISO Plastic Hard Shell Case & Keyboard Cover Compatible MacBook Air 11 Inch (Models: A1370 & A1465), Transparent Black",[],[],"['Electronics', 'Headphones, Earbuds & Accessories', 'Adapters']","{'Brand': 'MOSISO', 'Item Weight': '8 ounces', 'Product Dimensions': '12 x 7.7 x 0.8 inches', 'Item Dimensions  LxWxH': '12 x 7.7 x 0.8 inches', 'Color': 'ZhiZ-1127-14', 'Manufacturer': 'Nin9Yuan', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'May 9, 2017', 'Compatible Devices': 'MacBook-Air-11', 'Compatible Phone Models': 'for phone', 'Item Dimensions LxWxH': '12 x 7.7 x 0.8 inches'}",B01MCZP7RF
,"Fishfinder, Depth Finder Poly Sun Cover for 3"" - 4"" Models - Protects Your Screen from Sun / Weather Damage","['Made of poly material', 'Available in black', 'Drawstring', 'For 3-4 inch models', 'Measures 9 inches (23cm) x 6"" (115cm) x 3"" (8cm)']","['Affordable and convenient way to cover your sonar unit. Protects from the sun and repells rain/snow. (It is water resistant, not waterproof). Has drawstring on bottom for securing tightly. Oversize design to fit over cables.']","['Electronics', 'Car & Vehicle Electronics', 'Marine Electronics', 'Fish Finders & Depth Finders']","{'Item Package Dimensions L x W x H': '7.32 x 5.91 x 0.31 inches', 'Package Weight': '0.08 Kilograms', 'Brand Name': 'Westlake Market', 'Manufacturer': 'Westlake Market', 'Part Number': 'cvr730', 'Best Sellers Rank': {'Electronics': 73387, 'Fish Finders & Depth Finders': 300}, 'Date First Available': 'December 18, 2014'}",B00R6R82HS
